"","name","Price","discount","originalprice"
"1","Marv Raze Smartwatch with 1.96"" Large TFT Display,...","₹1,299","
                        83% off
                    
                    ","₹7,499"
"2","Marv Neo Smartwatch With 1.85"" HD Display & Dual B...","₹1,199","
                        83% off
                    
                    ","₹7,499"
"3","Unbound Curv Smartwatch - 1.96” 3D Curved Amoled D...","₹3,199","
                        83% off
                    
                    ","₹7,499"
"4","Unbound Neo Smartwatch with 1.8"" Super AMOLED Disp...","₹1,599","
                        83% off
                    
                    ","₹7,499"
"5","Marv Super with 2.0"" TFT HD Display, BT Calling-Bl...","₹1,399","
                        83% off
                    
                    ","₹7,499"
"6","Vega X Smartwatch with 1.43” Round AMOLED Display ...","₹2,299","
                        83% off
                    
                    ","₹7,499"
"7","Vega Neo 1.43” AMOLED Bluetooth Calling Smart Watc...","₹1,999","
                        83% off
                    
                    ","₹7,499"
"8","Flux Smartwatch With 1.45” Round HD Display & ...","₹1,499","
                        83% off
                    
                    ","₹7,499"
"9","MARV Smartwatch With 1.85"" HD Display & Dual BT Ca...","₹1,299","
                        83% off
                    
                    ","₹7,499"
"10","Marv Aura 1.83” Always On Display Smartwatch with ...","₹1,199","
                        83% off
                    
                    ","₹7,499"
"11","Terra Smartwatch with 1.39” Ultra HD Display, Blue...","₹2,199","
                        83% off
                    
                    ","₹7,499"
"12","Marv Ultra Smartwatch with 2.01” HD Always On Disp...","₹1,999","
                        83% off
                    
                    ","₹7,499"
"13","Vega Smartwatch with 1.43"" AMOLED (1000 Nits) Disp...","₹2,499","
                        83% off
                    
                    ","₹7,499"
"14","Unbound+ Smartwatch with 1.8"" Super AMOLED Display...","₹2,499","
                        83% off
                    
                    ","₹7,499"
"15","Unbound Nova Smartwatch with 1.96"" Amoled Display,...","₹2,499","
                        83% off
                    
                    ","₹7,499"
"16","EXACT Smartwatch with Accurate ECG Measurement, He...","₹2,999","
                        83% off
                    
                    ","₹7,499"
